rank,hostname,tasks_done,frames_done,compute_ms,io_ms,yolo_ms,comm_ms,idle_ms
0,Phams-MacBook-Air.local,1000,200,45242.9089,0.0000,45242.2007,253.2434,133.1575
1,Phams-MacBook-Air.local,1000,0,45376.0664,0.0000,45375.4787,0.3563,0.0000
2,Phams-MacBook-Air.local,1000,0,45279.1612,0.0000,45278.5419,79.9444,96.9052
3,Phams-MacBook-Air.local,1000,0,45029.5974,0.0000,45028.8678,313.7870,346.4690
4,MacBook-Pro-M4-Pro.local,1000,200,27129.8723,0.0000,27129.4508,19196.7519,18246.1941
5,MacBook-Pro-M4-Pro.local,1000,0,27421.3558,0.0000,27420.9382,19011.6873,17954.7106
6,MacBook-Pro-M4-Pro.local,1000,0,27257.4714,0.0000,27257.0776,19102.2331,18118.5950
7,MacBook-Pro-M4-Pro.local,1000,0,27182.9964,0.0000,27182.5450,19162.6881,18193.0700
8,MacBook-Pro-M4-Pro.local,1000,200,26788.9019,0.0000,26788.5613,19518.7273,18587.1645
9,MacBook-Pro-M4-Pro.local,1000,0,27124.1306,0.0000,27123.6801,19218.6492,18251.9358
10,Nguyens-MacBook-Air-5.local,1000,0,21169.6708,0.0000,21169.1975,24301.2264,24206.3956
11,Nguyens-MacBook-Air-5.local,1000,0,20860.8210,0.0000,20860.3089,24519.0293,24515.2454
