frame_id,person_count
0,9
1,11
2,10
3,8
4,8
5,7
6,9
7,9
8,9
9,8
10,9
11,9
12,6
13,6
14,9
15,9
16,9
17,9
18,8
19,7
20,8
21,10
22,9
23,8
24,7
25,8
26,7
27,8
28,11
29,10
30,9
31,10
32,10
33,11
34,10
35,10
36,10
37,9
38,9
39,7
40,8
41,8
42,10
43,8
44,7
45,7
46,7
47,6
48,7
49,8
50,7
51,8
52,10
53,9
54,9
55,9
56,9
57,8
58,6
59,7
60,6
61,10
62,9
63,10
64,8
65,8
66,10
67,7
68,8
69,9
70,8
71,9
72,6
73,7
74,7
75,9
76,8
77,6
78,7
79,6
80,7
81,7
82,6
83,6
84,6
85,8
86,6
87,7
88,6
89,5
90,7
91,7
92,8
93,9
94,9
95,8
96,6
97,7
98,6
99,6
100,7
101,8
102,6
103,8
104,8
105,7
106,6
107,7
108,5
109,4
110,4
111,4
112,4
113,4
114,4
115,4
116,5
117,5
118,6
119,6
120,5
121,5
122,6
123,6
124,5
125,7
126,6
127,5
128,8
129,7
130,6
131,7
132,4
133,4
134,6
135,6
136,5
137,4
138,5
139,7
140,6
141,6
142,5
143,7
144,7
145,6
146,6
147,8
148,6
149,6
150,7
151,8
152,8
153,8
154,8
155,8
156,8
157,9
158,8
159,9
160,11
161,11
162,10
163,9
164,9
165,8
166,9
167,7
168,8
169,7
170,8
171,8
172,8
173,9
174,10
175,7
176,7
177,6
178,8
179,8
180,7
181,8
182,9
183,9
184,8
185,7
186,8
187,8
188,6
189,7
190,8
191,8
192,8
193,9
194,10
195,11
196,9
197,10
198,9
199,9
200,9
201,10
202,10
203,10
204,9
205,9
206,9
207,6
208,7
209,8
210,9
211,7
212,6
213,6
214,6
215,7
216,8
217,6
218,7
219,7
220,7
221,7
222,8
223,7
224,7
225,8
226,9
227,7
228,7
229,6
230,6
231,5
232,6
233,6
234,6
235,7
236,8
237,8
238,8
239,10
240,7
241,8
242,7
243,7
244,7
245,6
246,6
247,7
248,7
249,7
250,8
251,10
252,9
253,10
254,10
255,8
256,9
257,10
258,9
259,9
260,8
261,8
262,9
263,11
264,11
265,9
266,10
267,11
268,12
269,11
270,10
271,10
272,10
273,10
274,10
275,11
276,9
277,10
278,10
279,9
280,9
281,9
282,10
283,10
284,13
285,10
286,10
287,7
288,11
289,11
290,10
291,10
292,9
293,9
294,9
295,8
296,8
297,8
298,9
299,10
300,11
301,11
302,12
303,11
304,13
305,14
306,13
307,12
308,12
309,11
310,11
311,11
312,10
313,10
314,10
315,11
316,12
317,12
318,12
319,12
320,11
321,12
322,13
323,13
324,10
325,9
326,9
327,9
328,10
329,10
330,8
331,10
332,11
333,9
334,10
335,7
336,6
337,7
338,6
339,6
340,6
341,8
342,6
343,6
344,5
345,5
346,4
347,5
348,6
349,6
350,6
351,8
352,8
353,7
354,7
355,8
356,6
357,7
358,8
359,7
360,7
361,7
362,9
363,8
364,6
365,7
366,6
367,5
368,6
369,6
370,5
371,6
372,6
373,6
374,7
375,9
376,7
377,7
378,7
379,7
380,7
381,8
382,7
383,6
384,6
385,6
386,6
387,6
388,7
389,7
390,8
391,7
392,9
393,8
394,8
395,8
396,8
397,7
398,8
399,8
400,7
401,7
402,7
403,8
404,8
405,6
406,8
407,8
408,8
409,8
410,8
411,9
412,8
413,8
414,9
415,9
416,9
417,9
418,9
419,9
420,10
421,9
422,9
423,8
424,9
425,9
426,10
427,11
428,10
429,11
430,11
431,10
432,9
433,11
434,10
435,11
436,10
437,10
438,8
439,9
440,10
441,7
442,8
443,9
444,12
445,13
446,15
447,11
448,11
449,13
450,13
451,9
452,10
453,10
454,10
455,10
456,11
457,9
458,11
459,9
460,8
461,10
462,11
463,11
464,10
465,10
466,11
467,10
468,10
469,11
470,12
471,9
472,11
473,10
474,10
475,12
476,15
477,14
478,12
479,13
480,13
481,15
482,15
483,14
484,15
485,14
486,14
487,13
488,13
489,14
490,16
491,12
492,14
493,14
494,14
495,15
496,12
497,12
498,13
499,13
500,14
501,16
502,14
503,13
504,14
505,15
506,15
507,16
508,15
509,14
510,15
511,15
512,17
513,16
514,16
515,17
516,14
517,16
518,15
519,15
520,14
521,15
522,16
523,14
524,14
525,14
526,13
527,11
528,14
529,14
530,14
531,14
532,14
533,13
534,14
535,14
536,14
537,14
538,13
539,14
540,15
541,16
542,14
543,14
544,14
545,13
546,14
547,14
548,13
549,12
550,11
551,12
552,12
553,13
554,13
555,12
556,13
557,13
558,12
559,12
560,10
561,13
562,11
563,11
564,12
565,13
566,12
567,11
568,11
569,11
570,11
571,10
572,11
573,11
574,11
575,11
576,11
577,14
578,12
579,11
580,11
581,10
582,10
583,11
584,13
585,12
586,13
587,12
588,11
589,11
590,13
591,13
592,12
593,12
594,13
595,11
596,11
597,11
598,11
599,12
