rank,hostname,tasks_done,frames_done,compute_ms,io_ms,yolo_ms,comm_ms,idle_ms
0,172-1-0-32.lightspeed.hstntx.sbcglobal.net,113,27,5446.7764,0.0000,5446.6450,2345.0152,0.0000
1,172-1-0-32.lightspeed.hstntx.sbcglobal.net,48,13,2814.1870,0.0000,2814.0370,5124.7661,2632.5894
2,172-1-0-32.lightspeed.hstntx.sbcglobal.net,49,12,2824.4961,0.0000,2824.3437,5113.8613,2622.2803
3,172-1-0-32.lightspeed.hstntx.sbcglobal.net,51,8,2874.7936,0.0000,2874.6722,5110.3533,2571.9828
4,172-1-0-28.lightspeed.hstntx.sbcglobal.net,50,15,1105.6472,0.0000,1105.6069,7879.3836,4341.1292
5,172-1-0-28.lightspeed.hstntx.sbcglobal.net,48,16,1077.3420,0.0000,1077.3114,7816.9203,4369.4344
6,172-1-0-28.lightspeed.hstntx.sbcglobal.net,50,11,1096.1021,0.0000,1096.0615,7888.9316,4350.6743
7,172-1-0-28.lightspeed.hstntx.sbcglobal.net,49,11,1086.6376,0.0000,1086.5831,7807.4534,4360.1388
8,172-1-0-253.lightspeed.hstntx.sbcglobal.net,35,7,2019.3891,0.0000,2019.3296,5849.8507,3427.3873
9,172-1-0-253.lightspeed.hstntx.sbcglobal.net,36,8,2041.9516,0.0000,2041.9164,5829.5721,3404.8248
10,172-1-0-253.lightspeed.hstntx.sbcglobal.net,35,12,2019.4095,0.0000,2019.3449,5851.2618,3427.3669
11,172-1-0-253.lightspeed.hstntx.sbcglobal.net,36,10,2052.1221,0.0000,2052.0935,5817.0017,3394.6543
