frame_id,person_count
0,7
1,10
2,8
3,8
4,9
5,8
6,9
7,10
8,9
9,9
10,10
11,10
12,9
13,10
14,9
15,10
16,8
17,8
18,8
19,9
20,9
21,12
22,9
23,8
24,7
25,8
26,7
27,8
28,8
29,7
30,7
31,8
32,7
33,8
34,9
35,9
36,7
37,8
38,6
39,7
40,7
41,7
42,7
43,6
44,8
45,8
46,10
47,10
48,8
49,8
50,8
51,8
52,10
53,10
54,9
55,11
56,10
57,8
58,9
59,7
60,7
61,6
62,8
63,8
64,6
65,6
66,7
67,9
68,9
69,9
70,7
71,8
72,9
73,8
74,9
75,10
76,9
77,7
78,7
79,7
80,8
81,7
82,7
83,7
84,9
85,9
86,9
87,8
88,8
89,8
90,8
91,8
92,9
93,7
94,7
95,8
96,8
97,8
98,8
99,8
100,8
101,8
102,7
103,7
104,8
105,8
106,8
107,7
108,6
109,7
110,7
111,6
112,7
113,7
114,6
115,5
116,6
117,6
118,5
119,5
120,7
121,7
122,7
123,7
124,5
125,5
126,6
127,7
128,6
129,7
130,6
131,6
132,4
133,4
134,6
135,4
136,5
137,4
138,5
139,5
140,4
141,4
142,5
143,5
144,6
145,6
146,6
147,6
148,5
149,7
150,7
151,7
152,7
153,6
154,9
155,9
156,8
157,8
158,8
159,9
160,10
161,8
162,7
163,8
164,8
165,7
166,7
167,7
168,10
169,10
170,10
171,10
172,10
173,9
174,10
175,9
176,8
177,9
178,8
179,8
180,7
181,8
182,9
183,9
184,9
185,7
186,8
187,7
188,7
189,8
190,8
191,7
192,9
193,9
194,11
195,11
196,11
197,9
198,8
199,8
200,8
201,8
202,8
203,8
204,7
205,8
206,7
207,6
208,6
209,7
210,6
211,6
212,6
213,6
214,6
215,6
216,7
217,7
218,7
219,7
220,7
221,7
222,6
223,7
224,9
225,9
226,8
227,8
228,7
229,8
230,8
231,7
232,7
233,8
234,8
235,8
236,7
237,6
238,8
239,10
240,10
241,10
242,11
243,11
244,9
245,11
246,9
247,9
248,8
249,8
250,9
251,9
252,11
253,11
254,12
255,11
256,11
257,11
258,12
259,11
260,9
261,9
262,11
263,11
264,12
265,9
266,12
267,11
268,12
269,9
270,9
271,10
272,11
273,13
274,11
275,11
276,10
277,9
278,11
279,11
280,13
281,12
282,10
283,10
284,11
285,10
286,11
287,10
288,12
289,11
290,12
291,11
292,11
293,11
294,10
295,10
296,11
297,10
298,11
299,12
300,12
301,13
302,12
303,14
304,13
305,13
306,14
307,15
308,16
309,13
310,12
311,11
312,11
313,11
314,11
315,12
316,13
317,14
318,15
319,14
320,13
321,13
322,13
323,14
324,13
325,13
326,11
327,10
328,10
329,10
330,13
331,11
332,12
333,11
334,12
335,11
336,9
337,9
338,9
339,10
340,9
341,9
342,9
343,8
344,7
345,7
346,7
347,8
348,9
349,9
350,9
351,7
352,8
353,9
354,9
355,10
356,8
357,11
358,10
359,11
360,8
361,8
362,9
363,10
364,8
365,7
366,11
367,10
368,12
369,8
370,9
371,7
372,9
373,11
374,10
375,11
376,9
377,9
378,7
379,7
380,7
381,9
382,8
383,8
384,7
385,8
386,9
387,8
388,9
389,8
390,11
391,10
392,10
393,10
394,10
395,10
396,10
397,9
398,10
399,10
400,9
401,9
402,9
403,9
404,9
405,9
406,10
407,10
408,11
409,9
410,9
411,8
412,9
413,9
414,10
415,9
416,9
417,10
418,10
419,9
420,9
421,11
422,10
423,11
424,10
425,10
426,9
427,9
428,11
429,10
430,13
431,12
432,12
433,10
434,11
435,9
436,9
437,7
438,9
439,7
440,9
441,7
442,9
443,9
444,11
445,13
446,11
447,13
448,13
449,11
450,11
451,11
452,10
453,10
454,10
455,12
456,11
457,11
458,12
459,10
460,11
461,10
462,12
463,11
464,11
465,11
466,11
467,11
468,10
469,11
470,11
471,11
472,11
473,10
474,11
475,9
476,10
477,12
478,13
479,13
480,12
481,14
482,12
483,15
484,13
485,13
486,13
487,14
488,13
489,12
490,11
491,10
492,11
493,12
494,11
495,12
496,12
497,11
498,12
499,13
500,14
501,13
502,15
503,16
504,15
505,15
506,17
507,16
508,14
509,13
510,14
511,13
512,13
513,13
514,15
515,15
516,14
517,15
518,15
519,16
520,15
521,15
522,15
523,16
524,14
525,14
526,12
527,15
528,15
529,14
530,13
531,13
532,15
533,14
534,13
535,14
536,13
537,15
538,14
539,15
540,16
541,14
542,15
543,14
544,15
545,15
546,14
547,14
548,12
549,13
550,12
551,12
552,11
553,13
554,11
555,11
556,10
557,10
558,11
559,11
560,10
561,11
562,9
563,9
564,9
565,10
566,10
567,9
568,9
569,11
570,11
571,13
572,11
573,11
574,11
575,11
576,10
577,10
578,11
579,12
580,13
581,12
582,12
583,11
584,12
585,12
586,12
587,12
588,12
589,12
590,12
591,12
592,13
593,10
594,10
595,9
596,9
597,10
598,9
599,10
