rank,hostname,tasks_done,frames_done,compute_ms,io_ms,yolo_ms,comm_ms,idle_ms
0,Phams-MacBook-Air.local,600,600,28848.7728,0.0000,28848.3967,132.2641,15.9072
1,Phams-MacBook-Air.local,600,0,27360.3990,0.0000,27360.0144,1300.0087,1504.2810
2,Phams-MacBook-Air.local,600,0,27234.7842,0.0000,27234.3603,1411.4776,1629.8958
3,Phams-MacBook-Air.local,600,0,28864.6800,0.0000,28864.3223,0.1485,0.0000
4,MacBook-Pro-M4-Pro.local,600,0,19129.4580,0.0000,19129.1359,10684.8216,9735.2220
5,MacBook-Pro-M4-Pro.local,600,0,18777.1458,0.0000,18776.7034,10937.4812,10087.5342
6,MacBook-Pro-M4-Pro.local,600,0,18903.0578,0.0000,18902.6890,10821.6755,9961.6222
7,MacBook-Pro-M4-Pro.local,600,0,19022.3298,0.0000,19022.0399,10707.5805,9842.3502
8,MacBook-Pro-M4-Pro.local,600,0,18702.2733,0.0000,18702.0135,0.1191,10162.4067
9,MacBook-Pro-M4-Pro.local,600,0,17622.1850,0.0000,17621.9138,12035.6330,11242.4950
10,Nguyens-MacBook-Air-5.local,600,0,13353.7355,0.0000,13353.4650,15884.8858,15510.9445
11,Nguyens-MacBook-Air-5.local,600,0,14209.6106,0.0000,14209.3401,0.1175,14655.0694
