rank,hostname,tasks_done,frames_done,compute_ms,io_ms,yolo_ms,comm_ms,idle_ms
0,172-1-0-32.lightspeed.hstntx.sbcglobal.net,349,29,16329.0573,0.0000,16328.6677,2611.8765,0.0000
1,172-1-0-32.lightspeed.hstntx.sbcglobal.net,146,14,8113.0759,0.0000,8112.9407,10688.7998,8215.9814
2,172-1-0-32.lightspeed.hstntx.sbcglobal.net,149,12,8416.4489,0.0000,8416.2816,10389.4240,7912.6084
3,172-1-0-32.lightspeed.hstntx.sbcglobal.net,142,12,8079.0228,0.0000,8078.8180,10642.4539,8250.0345
4,172-1-0-28.lightspeed.hstntx.sbcglobal.net,143,15,3150.7156,0.0000,3150.6232,17040.5951,13178.3417
5,172-1-0-28.lightspeed.hstntx.sbcglobal.net,142,9,3150.0729,0.0000,3149.9766,17042.3022,13178.9844
6,172-1-0-28.lightspeed.hstntx.sbcglobal.net,143,13,3113.9768,0.0000,3113.9001,17077.1464,13215.0805
7,172-1-0-28.lightspeed.hstntx.sbcglobal.net,143,11,3152.2853,0.0000,3152.1860,17038.4030,13176.7720
8,172-1-0-253.lightspeed.hstntx.sbcglobal.net,112,10,5716.3529,0.0000,5716.1870,13136.7569,10612.7044
9,172-1-0-253.lightspeed.hstntx.sbcglobal.net,112,7,5833.3236,0.0000,5833.1977,13019.9445,10495.7337
10,172-1-0-253.lightspeed.hstntx.sbcglobal.net,110,6,5723.6516,0.0000,5723.5307,13127.7471,10605.4057
11,172-1-0-253.lightspeed.hstntx.sbcglobal.net,109,12,5721.6870,0.0000,5721.4923,13128.6435,10607.3703
