rank,hostname,tasks_done,frames_done,compute_ms,io_ms,yolo_ms,comm_ms,idle_ms
0,Phams-MacBook-Air.local,3000,600,117511.1843,0.0000,117509.4819,1289.8656,1438.9426
1,Phams-MacBook-Air.local,3000,0,118950.1269,0.0000,118948.4595,1.9375,0.0000
2,Phams-MacBook-Air.local,3000,0,118625.5104,0.0000,118623.9460,250.1720,324.6165
3,Phams-MacBook-Air.local,3000,0,117346.6110,0.0000,117344.9764,1232.0088,1603.5159
4,MacBook-Pro-M4-Pro.local,3000,600,56902.5801,0.0000,56901.5287,62288.5930,62047.5468
5,MacBook-Pro-M4-Pro.local,3000,0,57471.9223,0.0000,57470.9741,61909.6539,61478.2046
6,MacBook-Pro-M4-Pro.local,3000,0,56979.4670,0.0000,56978.5033,62208.5407,61970.6599
7,MacBook-Pro-M4-Pro.local,3000,0,56953.9694,0.0000,56953.0815,62298.1490,61996.1575
