frame_id,person_count
0,8
1,10
2,9
3,7
4,7
5,7
6,8
7,9
8,9
9,9
10,9
11,9
12,7
13,7
14,8
15,9
16,9
17,9
18,10
19,9
20,8
21,9
22,8
23,8
24,7
25,8
26,7
27,8
28,11
29,10
30,10
31,11
32,11
33,11
34,11
35,10
36,10
37,8
38,8
39,7
40,8
41,8
42,8
43,8
44,8
45,8
46,8
47,8
48,8
49,7
50,7
51,8
52,10
53,9
54,10
55,10
56,8
57,7
58,6
59,6
60,5
61,10
62,8
63,8
64,9
65,7
66,10
67,8
68,8
69,9
70,7
71,7
72,7
73,8
74,6
75,7
76,7
77,6
78,6
79,6
80,6
81,7
82,6
83,6
84,6
85,9
86,6
87,6
88,6
89,7
90,6
91,7
92,9
93,8
94,8
95,7
96,7
97,8
98,7
99,7
100,8
101,9
102,8
103,8
104,9
105,7
106,7
107,7
108,5
109,5
110,4
111,5
112,5
113,4
114,4
115,4
116,5
117,5
118,5
119,6
120,5
121,5
122,5
123,5
124,5
125,7
126,6
127,7
128,8
129,8
130,7
131,8
132,4
133,4
134,5
135,5
136,4
137,4
138,5
139,5
140,5
141,6
142,5
143,6
144,7
145,6
146,6
147,8
148,7
149,6
150,7
151,8
152,8
153,8
154,8
155,8
156,10
157,10
158,9
159,8
160,9
161,11
162,10
163,8
164,8
165,7
166,9
167,7
168,8
169,7
170,7
171,6
172,6
173,9
174,7
175,7
176,7
177,6
178,8
179,9
180,7
181,8
182,9
183,9
184,8
185,7
186,8
187,8
188,7
189,7
190,7
191,7
192,8
193,8
194,8
195,9
196,8
197,8
198,7
199,7
200,8
201,10
202,9
203,9
204,9
205,10
206,9
207,6
208,8
209,8
210,8
211,7
212,6
213,6
214,7
215,7
216,7
217,6
218,7
219,7
220,7
221,7
222,7
223,7
224,6
225,8
226,9
227,7
228,7
229,6
230,6
231,6
232,6
233,6
234,6
235,7
236,7
237,6
238,6
239,10
240,8
241,8
242,7
243,7
244,7
245,7
246,7
247,7
248,7
249,7
250,8
251,9
252,9
253,10
254,10
255,10
256,10
257,10
258,10
259,9
260,9
261,10
262,11
263,10
264,10
265,9
266,9
267,13
268,12
269,10
270,11
271,11
272,10
273,10
274,12
275,11
276,9
277,9
278,10
279,12
280,11
281,9
282,9
283,11
284,11
285,10
286,9
287,8
288,11
289,11
290,9
291,10
292,11
293,11
294,10
295,10
296,8
297,8
298,9
299,10
300,11
301,11
302,11
303,11
304,12
305,13
306,14
307,13
308,12
309,11
310,11
311,11
312,11
313,12
314,11
315,12
316,12
317,11
318,12
319,11
320,11
321,11
322,12
323,13
324,9
325,10
326,8
327,9
328,9
329,9
330,9
331,11
332,12
333,9
334,9
335,7
336,7
337,7
338,6
339,6
340,6
341,8
342,6
