label,world_size,total_ms_with_comm,total_ms_without_comm,speedup_with_comm,speedup_without_comm,efficiency_with_comm,efficiency_without_comm,tile_grid,schedule
local_only_master,1,786655.7978,783676.1888,1.0,1.0,1.0,1.0,5x4,dynamic
local_only_master,2,288494.1531,284278.2856,2.726765133182174,2.756721946405322,1.363382566591087,1.378360973202661,5x4,dynamic
local_only_master,4,291477.2291,285319.677,2.69885850167086,2.746660156915851,0.674714625417715,0.6866650392289627,5x4,dynamic
local_only_master,8,346109.2776,337773.1235,2.272853831757557,2.320125949274943,0.28410672896969463,0.2900157436593679,5x4,dynamic
cluster_3_machine,1,202714.5353,200470.4817,1.0,1.0,1.0,1.0,5x4,dynamic
cluster_3_machine,2,204701.3456,201415.5102,0.9902941023949966,0.995308064909889,0.4951470511974983,0.4976540324549445,5x4,dynamic
cluster_3_machine,4,244848.1767,239662.4703,0.827919317317914,0.8364700632896716,0.2069798293294785,0.2091175158224179,5x4,dynamic
cluster_3_machine,8,133359.8698,127315.1653,1.5200564877876028,1.5746001760875852,0.19000706097345035,0.19682502201094815,5x4,dynamic
cluster_3_machine,12,90899.7948,84187.6494,2.230087930847562,2.381233864215717,0.18584066090396348,0.19843615535130976,5x4,dynamic
