rank,hostname,tasks_done,frames_done,compute_ms,io_ms,yolo_ms,comm_ms,idle_ms
0,172-1-0-32.lightspeed.hstntx.sbcglobal.net,1581,126,47290.6939,0.0000,47289.8144,2988.9331,0.0000
1,172-1-0-32.lightspeed.hstntx.sbcglobal.net,655,59,23870.5883,0.0000,23870.0498,26580.4358,23420.1056
2,172-1-0-32.lightspeed.hstntx.sbcglobal.net,658,42,24031.7141,0.0000,24031.3156,26417.4375,23258.9798
3,172-1-0-32.lightspeed.hstntx.sbcglobal.net,649,50,23774.0448,0.0000,23773.5381,26680.8455,23516.6491
4,172-1-0-28.lightspeed.hstntx.sbcglobal.net,506,40,11500.0483,0.0000,11499.8184,39157.0948,35790.6456
5,172-1-0-28.lightspeed.hstntx.sbcglobal.net,507,46,11404.4088,0.0000,11404.1976,39252.4695,35886.2851
6,172-1-0-28.lightspeed.hstntx.sbcglobal.net,504,46,11441.3918,0.0000,11441.1458,39217.3994,35849.3021
7,172-1-0-28.lightspeed.hstntx.sbcglobal.net,506,52,11444.4260,0.0000,11444.2044,39211.5572,35846.2679
8,172-1-0-253.lightspeed.hstntx.sbcglobal.net,406,33,18471.2099,0.0000,18471.0247,30579.6496,28819.4840
9,172-1-0-253.lightspeed.hstntx.sbcglobal.net,411,35,18318.3759,0.0000,18318.1133,30738.7861,28972.3180
10,172-1-0-253.lightspeed.hstntx.sbcglobal.net,409,37,18367.5699,0.0000,18367.2502,30686.4425,28923.1240
11,172-1-0-253.lightspeed.hstntx.sbcglobal.net,408,34,18305.9379,0.0000,18305.5592,30750.3210,28984.7560
