rank,hostname,tasks_done,frames_done,compute_ms,io_ms,yolo_ms,comm_ms,idle_ms
0,172-1-0-32.lightspeed.hstntx.sbcglobal.net,491,117,14980.6620,0.0000,14980.3477,2361.5389,0.0000
1,172-1-0-32.lightspeed.hstntx.sbcglobal.net,234,57,8514.6441,0.0000,8514.4024,8734.1336,6466.0179
2,172-1-0-32.lightspeed.hstntx.sbcglobal.net,232,63,8327.0871,0.0000,8326.6388,8920.9922,6653.5749
3,172-1-0-32.lightspeed.hstntx.sbcglobal.net,230,55,8383.0891,0.0000,8382.8524,8864.2600,6597.5729
4,172-1-0-28.lightspeed.hstntx.sbcglobal.net,188,50,4237.1610,0.0000,4237.0487,13533.1209,10743.5010
5,172-1-0-28.lightspeed.hstntx.sbcglobal.net,187,42,4244.7662,0.0000,4244.6310,13526.2460,10735.8958
6,172-1-0-28.lightspeed.hstntx.sbcglobal.net,186,43,4237.3453,0.0000,4237.2285,13533.3932,10743.3167
7,172-1-0-28.lightspeed.hstntx.sbcglobal.net,188,50,4224.6823,0.0000,4224.5666,13545.7092,10755.9797
8,172-1-0-253.lightspeed.hstntx.sbcglobal.net,115,35,6873.9530,0.0000,6873.7777,9731.0638,8106.7090
9,172-1-0-253.lightspeed.hstntx.sbcglobal.net,115,31,6901.6716,0.0000,6901.4842,9701.6082,8078.9904
10,172-1-0-253.lightspeed.hstntx.sbcglobal.net,117,28,6867.9303,0.0000,6867.6438,9809.6395,8112.7317
11,172-1-0-253.lightspeed.hstntx.sbcglobal.net,117,29,6883.9854,0.0000,6883.8350,9722.2106,8096.6766
