world_size,total_ms_with_comm,total_ms_without_comm,speedup_with_comm,speedup_without_comm,efficiency_with_comm,efficiency_without_comm,tile_grid,schedule
1,345676.8635,342466.7074,1.0,1.0,1.0,1.0,5x4,dynamic
2,276155.1044,272546.4657,1.2517489555409427,1.2565442979435415,0.6258744777704713,0.6282721489717707,5x4,dynamic
4,244746.5263,240904.6102,1.4123872102531245,1.4215863578355048,0.35309680256328113,0.3553965894588762,5x4,dynamic
8,200770.316,194281.75,1.721752848663146,1.7627322556030096,0.21521910608289324,0.2203415319503762,5x4,dynamic
12,178305.571,170255.0526,1.9386767421865916,2.0114921828757524,0.16155639518221596,0.16762434857297936,5x4,dynamic
