world_size,total_ms_with_comm,total_ms_without_comm,speedup_with_comm,speedup_without_comm,efficiency_with_comm,efficiency_without_comm,tile_grid,schedule,comm_mode
1,264179.1227,262333.8689,1.0,1.0,1.0,1.0,5x4,static,nonblocking
2,230917.7227,228743.914,1.1440400485986604,1.1468452397819862,0.5720200242993302,0.5734226198909931,5x4,static,nonblocking
4,227600.6308,225052.3264,1.1607134908696395,1.1656572189071137,0.29017837271740987,0.29141430472677843,5x4,static,nonblocking
8,121851.976,118950.1269,2.1680331445753493,2.205410584559872,0.27100414307191867,0.275676323069984,5x4,static,nonblocking
12,79059.189,76345.229,3.341535956054394,3.4361527542212227,0.27846132967119946,0.28634606285176856,5x4,static,nonblocking
