rank,hostname,tasks_done,frames_done,compute_ms,io_ms,yolo_ms,comm_ms,idle_ms
0,172-1-0-32.lightspeed.hstntx.sbcglobal.net,603,32,25263.2886,0.0000,25262.8360,2499.6151,0.0000
1,172-1-0-32.lightspeed.hstntx.sbcglobal.net,252,17,12257.1468,0.0000,12256.2253,15357.5412,13006.1418
2,172-1-0-32.lightspeed.hstntx.sbcglobal.net,247,12,11897.4556,0.0000,11897.2497,15724.3600,13365.8330
3,172-1-0-32.lightspeed.hstntx.sbcglobal.net,252,10,12036.3696,0.0000,12036.0991,15581.6322,13226.9190
4,172-1-0-28.lightspeed.hstntx.sbcglobal.net,218,9,4455.2402,0.0000,4455.1605,24751.8255,20808.0484
5,172-1-0-28.lightspeed.hstntx.sbcglobal.net,219,7,4531.4054,0.0000,4531.2995,24675.7532,20731.8832
6,172-1-0-28.lightspeed.hstntx.sbcglobal.net,218,7,4484.1923,0.0000,4484.1247,24721.9247,20779.0963
7,172-1-0-28.lightspeed.hstntx.sbcglobal.net,219,19,4473.8895,0.0000,4473.7614,24733.6482,20789.3991
8,172-1-0-253.lightspeed.hstntx.sbcglobal.net,191,10,7534.8531,0.0000,7534.6286,20518.3173,17728.4355
9,172-1-0-253.lightspeed.hstntx.sbcglobal.net,194,6,7504.8209,0.0000,7504.6761,20542.0586,17758.4677
10,172-1-0-253.lightspeed.hstntx.sbcglobal.net,195,10,7595.4935,0.0000,7595.3853,20456.6217,17667.7951
11,172-1-0-253.lightspeed.hstntx.sbcglobal.net,192,11,7556.4364,0.0000,7556.3035,20495.8371,17706.8522
