rank,hostname,tasks_done,frames_done,compute_ms,io_ms,yolo_ms,comm_ms,idle_ms
0,Phams-MacBook-Air.local,1000,200,32340.5436,0.0000,32340.0121,837.1508,840.0618
1,Phams-MacBook-Air.local,1000,0,32870.5094,0.0000,32870.0522,228.7780,310.0960
2,Phams-MacBook-Air.local,1000,0,33180.6054,0.0000,33180.1566,0.3130,0.0000
3,Phams-MacBook-Air.local,1000,0,32347.8441,0.0000,32347.3628,590.0142,832.7613
4,MacBook-Pro-M4-Pro.local,1000,200,30630.7919,0.0000,30630.3382,2763.5033,2549.8135
5,MacBook-Pro-M4-Pro.local,1000,0,30381.8898,0.0000,30381.4552,2888.1858,2798.7156
6,MacBook-Pro-M4-Pro.local,1000,0,30405.7416,0.0000,30405.3237,2855.6595,2774.8638
7,MacBook-Pro-M4-Pro.local,1000,0,30379.4188,0.0000,30379.0267,2909.1431,2801.1866
8,MacBook-Pro-M4-Pro.local,1000,200,30389.5284,0.0000,30389.0635,2874.1720,2791.0770
9,MacBook-Pro-M4-Pro.local,1000,0,30378.7445,0.0000,30378.3052,2901.2843,2801.8609
10,Nguyens-MacBook-Air-5.local,1000,0,24464.3974,0.0000,24463.9859,9005.7592,8716.2080
11,Nguyens-MacBook-Air-5.local,1000,0,24105.2063,0.0000,24104.6849,9264.1130,9075.3991
