frame_id,person_count
0,2
1,2
2,3
3,3
4,6
5,6
6,5
7,6
8,6
9,7
10,7
11,8
12,6
13,7
14,7
15,8
16,8
17,8
18,7
19,8
20,5
21,6
22,6
23,6
24,5
25,5
26,5
27,5
28,5
29,4
30,5
31,6
32,5
33,7
34,9
35,9
36,8
37,8
38,8
39,8
40,9
41,12
42,9
43,11
44,10
45,9
46,11
47,11
48,8
49,8
50,8
51,10
52,10
53,10
54,11
55,9
56,11
57,9
58,11
59,9
60,9
61,10
62,10
63,9
64,10
65,10
66,13
67,11
68,12
69,12
70,13
71,13
72,12
73,13
74,12
75,11
76,10
77,11
78,12
79,9
80,13
81,11
82,11
83,12
84,6
85,8
86,10
87,11
88,13
89,12
90,9
91,10
92,10
93,12
94,13
95,11
96,11
97,13
98,11
99,12
100,15
101,13
102,15
103,12
104,13
105,14
106,16
107,15
108,8
109,9
110,11
111,10
112,10
113,10
114,10
115,13
116,12
117,10
118,13
119,12
120,6
121,9
122,10
123,15
124,14
125,15
126,11
127,11
128,12
129,12
130,14
131,14
132,13
133,14
134,14
135,13
136,11
137,13
138,15
139,12
140,11
141,12
142,15
143,13
144,11
145,11
146,11
147,11
148,10
149,12
150,11
151,10
152,11
153,13
154,11
155,11
156,11
157,9
158,10
159,9
160,13
161,10
162,11
163,13
164,9
165,10
166,11
167,10
168,12
169,11
170,8
171,8
172,8
173,8
174,9
175,9
176,10
177,11
178,12
179,14
180,9
181,11
182,11
183,12
184,11
185,11
186,11
187,10
188,12
189,12
190,12
191,11
192,10
193,10
194,11
195,10
196,10
197,11
198,11
199,12
200,11
201,12
202,12
203,9
204,8
205,8
206,9
207,9
208,10
209,10
210,10
211,8
212,11
213,10
214,10
215,10
216,9
217,9
218,10
219,8
220,9
221,10
222,12
223,15
224,13
225,13
226,14
227,14
228,11
229,12
230,14
231,13
232,14
233,13
234,13
235,11
236,13
237,12
238,12
239,12
240,10
241,9
242,9
243,11
244,12
245,12
246,13
247,11
248,16
249,13
250,16
251,17
252,13
253,15
254,16
255,13
256,15
257,13
258,12
259,13
260,12
261,11
262,10
263,10
264,11
265,16
266,16
267,14
268,11
269,10
270,10
271,13
272,13
273,9
274,11
275,12
276,12
277,16
278,14
279,10
280,14
281,13
282,14
283,15
284,19
285,14
286,14
287,14
288,16
289,15
290,11
291,14
292,11
293,13
294,14
295,16
296,15
297,11
298,15
299,11
300,14
301,16
302,15
303,15
304,13
305,12
306,10
307,7
308,10
309,10
310,12
311,12
312,11
313,14
314,10
315,11
316,12
317,10
318,11
319,10
320,12
321,13
322,13
323,12
324,11
325,13
326,13
327,13
328,13
329,10
330,13
331,11
332,9
333,12
334,11
335,7
336,8
337,10
338,7
339,9
340,12
341,13
342,14
343,16
344,14
345,12
346,11
347,11
348,11
349,11
350,10
351,10
352,11
353,12
354,11
355,12
356,13
357,11
358,11
359,9
360,9
361,11
362,10
363,11
364,9
365,8
366,10
367,8
368,9
369,9
370,9
371,12
372,9
373,11
374,11
375,12
376,11
377,10
378,11
379,13
380,13
381,12
382,8
383,8
384,4
385,6
386,5
387,7
388,5
389,6
390,6
391,6
392,6
393,7
394,6
395,5
396,7
397,6
398,5
399,6
400,6
401,5
402,4
403,2
404,4
405,2
406,2
407,3
408,4
409,4
410,4
411,3
412,2
413,3
414,5
415,4
416,5
417,4
418,4
419,4
420,4
421,6
422,6
423,6
424,4
425,5
426,7
427,9
428,9
429,10
430,9
431,10
432,11
433,9
434,9
435,9
436,10
437,10
438,9
439,5
440,5
441,4
442,6
443,7
444,9
445,9
446,9
447,13
448,13
449,13
450,13
451,13
452,15
453,13
454,14
455,14
456,17
457,15
458,14
459,13
460,12
461,12
462,10
463,9
464,11
465,14
466,14
467,14
468,12
469,13
470,14
471,14
472,13
473,12
474,12
475,12
476,11
477,10
478,11
479,9
480,11
481,9
482,11
483,11
484,12
485,10
486,12
487,12
488,12
489,11
490,12
491,15
492,11
493,14
494,9
495,13
496,10
497,12
498,11
499,13
500,13
501,12
502,9
503,10
504,9
505,11
506,12
507,12
508,11
509,13
510,12
511,13
512,15
513,16
514,14
515,14
516,10
517,14
518,12
519,14
520,10
521,10
522,8
523,12
524,11
525,11
526,12
527,13
528,13
529,10
530,10
531,11
532,12
533,14
534,14
535,12
536,15
537,14
538,17
539,18
540,16
541,14
542,15
543,14
544,15
545,12
546,11
547,13
548,13
549,12
550,13
551,13
552,13
553,11
554,11
555,12
556,13
557,15
558,16
559,13
560,12
561,11
562,12
563,10
564,12
565,11
566,9
567,12
568,10
569,10
570,12
571,9
572,10
573,10
574,9
575,9
576,7
577,6
578,4
579,8
580,9
581,9
582,11
583,11
584,11
585,10
586,8
587,10
588,9
589,12
590,12
591,7
592,8
593,10
594,10
595,10
596,7
597,6
598,6
599,5
