frame_id,person_count
0,7
1,7
2,7
3,7
4,8
5,7
6,7
7,6
8,6
9,6
10,6
11,7
12,7
13,7
14,7
15,8
16,7
17,7
18,7
19,6
20,5
21,7
22,5
23,6
24,6
25,6
26,7
27,7
28,7
29,7
30,7
31,8
32,8
33,6
34,7
35,7
36,5
37,6
38,6
39,5
40,5
41,6
42,7
43,6
44,5
45,5
46,6
47,5
48,5
49,6
50,7
51,6
52,6
53,7
54,7
55,7
56,7
57,6
58,6
59,6
60,6
61,6
62,6
63,4
64,6
65,7
66,7
67,7
68,6
69,6
70,4
71,4
72,5
73,5
74,5
75,5
76,6
77,5
78,6
79,6
80,6
81,6
82,6
83,6
84,6
85,6
86,6
87,5
88,6
89,6
90,7
91,7
92,7
93,7
94,6
95,6
96,6
97,6
98,6
99,6
100,6
101,6
102,7
103,7
104,7
105,7
106,6
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,5
121,5
122,5
123,5
124,5
125,5
126,5
127,5
128,5
129,5
130,5
131,4
132,3
133,4
134,3
135,3
136,3
137,3
138,3
139,4
140,4
141,3
142,4
143,4
144,4
145,4
146,5
147,5
148,6
149,5
150,5
151,5
152,5
153,5
154,7
155,6
156,7
157,6
158,6
159,6
160,6
161,5
162,6
163,6
164,6
165,7
166,6
167,6
168,6
169,5
170,5
171,5
172,5
173,4
174,5
175,4
176,4
177,4
178,5
179,4
180,5
181,4
182,4
183,6
184,5
185,5
186,6
187,7
188,7
189,7
190,6
191,6
192,6
193,6
194,7
195,6
196,6
197,7
198,6
199,6
200,6
201,5
202,6
203,6
204,6
205,5
206,5
207,5
208,5
209,5
210,5
211,6
212,6
213,6
214,6
215,6
216,6
217,6
218,6
219,6
220,6
221,4
222,5
223,5
224,4
225,4
226,4
227,4
228,4
229,4
230,4
231,4
232,4
233,3
234,5
235,5
236,4
237,6
238,5
239,6
240,6
241,6
242,6
243,5
244,5
245,5
246,5
247,4
248,4
249,5
250,5
251,6
252,6
253,6
254,6
255,6
256,6
257,6
258,6
259,6
260,6
261,6
262,6
263,6
264,6
265,6
266,6
267,6
268,6
269,6
270,7
271,7
272,6
273,7
274,6
275,6
276,7
277,7
278,7
279,5
280,5
281,4
282,4
283,4
284,4
285,5
286,5
287,5
288,5
289,6
290,6
291,6
292,6
293,5
294,5
295,5
296,5
297,5
298,5
299,6
300,6
301,6
302,8
303,8
304,10
305,9
306,9
307,8
308,9
309,7
310,7
311,7
312,7
313,7
314,8
315,9
316,9
317,7
318,7
319,7
320,9
321,9
322,9
323,8
324,7
325,6
326,4
327,6
328,6
329,7
330,5
331,7
332,6
333,6
334,6
335,7
336,7
337,6
338,7
339,6
340,6
341,6
342,7
343,5
344,5
345,5
346,5
347,4
348,4
349,4
350,5
351,5
352,6
353,5
354,5
355,5
356,5
357,6
358,7
359,7
360,6
361,6
362,7
363,7
364,6
365,6
366,6
367,6
368,7
369,6
370,6
371,6
372,7
373,7
374,6
375,6
376,6
377,7
378,6
379,6
380,6
381,7
382,7
383,7
384,7
385,7
386,8
387,7
388,7
389,6
390,7
391,7
392,6
393,7
394,8
395,7
396,8
397,8
398,6
399,8
400,7
401,6
402,6
403,6
404,6
405,6
406,6
407,6
408,7
409,7
410,6
411,6
412,6
413,6
414,7
415,7
416,6
417,6
418,7
419,7
420,8
421,8
422,8
423,9
424,9
425,9
426,7
427,8
428,8
429,8
430,9
431,10
432,9
433,9
434,9
435,8
436,7
437,7
438,7
439,6
440,4
441,6
442,7
443,6
444,7
445,7
446,7
447,7
448,8
449,6
450,5
451,5
452,5
453,6
454,5
455,5
456,5
457,5
458,6
459,6
460,6
461,6
462,7
463,7
464,7
465,7
466,7
467,7
468,7
469,7
470,7
471,7
472,7
473,7
474,7
475,7
476,7
477,8
478,8
479,8
480,8
481,8
482,8
483,8
484,8
485,8
486,8
487,7
488,7
489,8
490,6
491,7
492,7
493,6
494,7
495,7
496,7
497,7
498,7
499,7
500,7
501,7
502,7
503,8
504,8
505,9
506,8
507,8
508,9
509,9
510,8
511,8
512,7
513,9
514,10
515,9
516,10
517,9
518,9
519,9
520,8
521,9
522,9
523,8
524,8
525,7
526,7
527,9
528,9
529,9
530,9
531,6
532,8
533,8
534,8
535,9
536,9
537,8
538,9
539,9
540,11
541,11
542,10
543,10
544,10
545,10
546,10
547,9
548,9
549,8
550,8
551,9
552,9
553,9
554,8
555,8
556,7
557,7
558,8
559,8
560,8
561,8
562,8
563,7
564,8
565,8
566,8
567,8
568,8
569,8
570,8
571,8
572,8
573,7
574,7
575,7
576,8
577,8
578,8
579,7
580,7
581,7
582,7
583,6
584,6
585,6
586,6
587,6
588,6
589,7
590,7
591,6
592,8
593,6
594,5
595,6
596,6
597,6
598,6
599,6
